x_px,y_px
212.0,435.0
212.0,603.0
212.0,787.0
213.0,642.0
213.0,841.0
214.0,751.0
214.5,623.75
215.66666666666666,542.0
218.0,676.0
218.0,729.0
218.75,855.0
218.9375,771.375
218.9375,809.25
219.0,264.0
219.0,401.0
219.0,490.0
219.0,621.3333333333334
219.0,665.0
219.0,707.0
219.0,740.0
219.0,756.3333333333334
219.0,783.0
219.0,796.0
219.0,806.0
219.0,820.6666666666666
219.0,837.5
219.0,896.0
219.16666666666666,875.6666666666666
219.33333333333334,364.0
221.0,841.0
225.0,311.0
225.0,364.0
226.0,329.0
226.11111111111111,381.3333333333333
226.33333333333334,418.0
226.33333333333334,468.0
229.0,489.6818181818182
229.0,526.0
229.0,542.0
229.66666666666666,295.0
230.0,560.0
230.0,676.0
230.5,418.25
231.0,624.0
231.33333333333334,841.0
232.0,659.0
232.0,695.0
232.0,729.0
232.0,770.0
232.5,642.0
234.0,878.0
235.0,751.0
236.0,787.0
236.71428571428572,468.07142857142856
237.33333333333334,329.0
239.16666666666666,804.6666666666666
239.3,711.2
239.4,829.0
239.66666666666666,872.0
239.85714285714286,406.0
240.0,66.0
240.0,302.0
240.0,358.0
240.0,370.3333333333333
240.0,413.0
240.0,435.0
240.0,453.0
240.0,468.0
240.0,475.3333333333333
240.0,489.0
240.0,506.0
240.0,516.0
240.0,523.0
240.0,531.0
240.0,547.0
240.0,568.0
240.0,591.0
240.0,604.0
240.0,629.0
240.0,640.0
240.0,650.0
240.0,665.0
240.0,677.0
240.0,687.0
240.0,697.0
240.0,704.0
240.0,726.0
240.0,740.0
240.0,760.0
240.0,776.0
240.0,856.0
240.0,892.0
240.0,897.0
240.22222222222223,8.11111111111111
242.33333333333334,542.0
242.5,710.5
242.65714285714284,823.5428571428571
243.8918918918919,452.27027027027026
244.0,526.0
246.0,729.0
247.0,348.0
247.16666666666666,311.0
248.0,642.0
248.33333333333334,659.0
248.5,585.0
248.66666666666666,381.0
248.66666666666666,507.0
249.0,806.0
249.0,841.0
250.0,751.0
250.0,770.0
250.6,328.8
251.0,787.0
252.0,526.0
252.66666666666666,542.0
253.0,642.0
254.0,729.0
255.0,659.0
256.2,649.2
257.0,4.0
257.0,15.0
257.0,300.0
257.0,336.0
257.0,374.0
257.0,398.0
257.0,467.0
257.0,476.0
257.0,492.0
257.0,504.0
257.0,514.0
257.0,529.0
257.0,551.0
257.0,567.0
257.0,583.0
257.0,591.0
257.0,603.0
257.0,625.0
257.0,662.6666666666666
257.0,736.0
257.0,743.0
257.0,764.0
257.0,778.0
257.0,796.0
257.0,873.0
257.0,893.5
257.14285714285717,319.0
257.25,355.0
257.2857142857143,189.71428571428572
257.3333333333333,278.77777777777777
257.3333333333333,695.0
257.4166666666667,838.0
257.48,691.96
257.5,450.6666666666667
257.6,806.8666666666667
257.72727272727275,423.59090909090907
258.0,418.0
259.0,676.0
259.4,294.8
260.6666666666667,262.0
261.0,348.0
261.0,435.0
